Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Militia Torch Throw,-116877786,Militia Torchbearer,,AoE,,Other,AoE,CloseRange,,T2,36,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,471046053,Militia Torchbearer,,Melee,,Other,Melee,CloseRange,,T2,36,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Militia Whirlwind,-1077498120,Militia Whirlwind (inferred),,Melee,,Other,Melee,SelfCast,,,,,16,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Mutant Area Attack,-44955695,Mutant Bear,,,,Other,,CloseRange,,T4,74,N,6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Mutant Area Attack Fast,616732424,Mutant Bear,,,,Other,,CloseRange,,T4,74,N,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-77977745,Mutant Bear,,Melee,,Other,Melee,CloseRange,,T4,74,N,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Mutant Flesh Golem Body Slam,-79098693,Mutant Flesh Golem,,Movement,,Other,Movement,CloseRange,,T4,64,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Flesh Golem Bulldoze,340686786,Mutant Flesh Golem,,,,Other,,CloseRange,,T4,64,N,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Flesh Golem Bulldoze Scream,-1766338327,Mutant Flesh Golem,,,,Other,,,,T4,64,N,0.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Flesh Golem Grab,1459248190,Mutant Flesh Golem,,,,Other,,CloseRange,,T4,64,N,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Flesh Golem Grab Followup,-1485105952,Mutant Flesh Golem,,,,Other,,CloseRange,,T4,64,N,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-736079997,Mutant Flesh Golem,,Melee,,Other,Melee,CloseRange,,T4,64,N,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Mutant Rat Scratch,-650383304,Mutant Rat Horror,,,,Other,,CloseRange,,T3,60,N,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Rat Taunt,306615743,Mutant Rat Horror,,,,Other,,,,T3,60,N,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Spitter Bash,1771061239,Mutant Spitter,,Projectile,,Other,Projectile,CloseRange,,T3,58,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Spitter Poison Rain,1388701732,Mutant Spitter,,AoE,,Other,AoE,,,T3,58,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Spitter Projectile,1271143604,Mutant Spitter,,Projectile,,Other,Projectile,Aimed,,T3,58,N,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Spitter Taunt,-1038102898,Mutant Spitter,,Projectile,,Other,Projectile,,,T3,58,N,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1869011274,Mutant Wolf,,Melee,,Other,Melee,CloseRange,,T4,70,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Wolf Mutant Dash Attack,2000340068,Mutant Wolf,,Movement,,Other,Movement,CloseRange,,T4,70,N,7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash,177071276,Ocean Blowfish,,,,Other,,,,T1,26,N,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash,-1059091794,Ocean Piranha,,Melee,,Other,Melee,,,T1,26,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Piranha Circle,-1763951497,Ocean Piranha,,,,Other,,,,T1,26,N,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Divine Angel Angelic Flack Cannon,1927100043,Paladin Divine Angel,,Projectile,,Other,Projectile,,,T4,80,N,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Divine Angel Dash,124285667,Paladin Divine Angel,,Movement,,Other,Movement,Aimed,,T4,80,N,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Divine Angel Holy Barrage,31826871,Paladin Divine Angel,,Projectile,,Other,Projectile,,,T4,80,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-105601189,Paladin Divine Angel,,Melee,,Other,Melee,CloseRange,,T4,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Paladin Divine Angel Holy Spear Field,985669672,Paladin Divine Angel; Paladin Fallen Angel,,AoE,,Other,AoE; Projectile,,,T4,80,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Fallen Angel Bubble Popper,1309712000,Paladin Fallen Angel,,Projectile,,Other,Projectile,Aimed,,T4,80,N,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Fallen Angel Dash,-1364891068,Paladin Fallen Angel,,Movement,,Other,Movement,Aimed,,T4,80,N,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Fallen Angel Unholy Barrage,-1847055470,Paladin Fallen Angel,,Projectile,Unholy,Other,Projectile,,,T4,80,N,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-8655403,Paladin Fallen Angel,,Melee,,Other,Melee,CloseRange,,T4,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Poloma Hard Projectile,-595482115,Poloma,,Projectile,,Other,Projectile,,,T3,57,Y,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Poloma Otherside,1795809188,Poloma,,,,Other,,,,T3,57,Y,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Poloma Otherside Ability Group Ally,2033547790,Poloma,,,,Other,,,,T3,57,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Poloma Pixie,-1036943907,Poloma,,Summon,,Other,Summon,Summon,,T3,57,Y,20,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Poloma Projectile,-914903899,Poloma,,Projectile,,Other,Projectile,,,T3,57,Y,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Poloma Spirit Rift,-939006306,Poloma,,AoE,,Other,AoE,CloseRange,,T3,57,Y,2.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: TUNE
Poloma Wolf,-321651703,Poloma,,Heal,,Other,Heal; Projectile,Aimed,,T3,57,Y,3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Primary Attack,-560639220,Rock Elemental; Ice Elemental; Rock Elemental Nether Demon,,Melee,,Other,Melee,CloseRange,,T3,50,N,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Rock Elemental Fall Asleep Buff,-1924288461,Rock Elemental; Ice Elemental; Rock Elemental Nether Demon,,Buff,,Other,Buff,,,T3,50,N,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Rock Elemental Leap,294532069,Rock Elemental; Ice Elemental; Rock Elemental Nether Demon,,Movement,,Other,Movement,Aimed,,T3,50,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Elemental Rollout,-150520781,Rock Elemental; Ice Elemental; Rock Elemental Nether Demon,,Movement,,Other,Movement,CloseRange,,T3,50,N,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1436929556,Scarecrow,,Melee,,Other,Melee,CloseRange,,T3,54,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Scarecrow Projectile,594778109,Scarecrow,,Projectile,,Other,Projectile,Aimed,,T3,54,N,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarecrow Scream,382761265,Scarecrow,,,,Other,,CloseRange,,T3,54,N,11,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Meld,741783094,Scarecrow,,Movement,,Other,Movement,SelfCast,,T3,54,N,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: reaction (counter/knockdown) — may be a real CC; evaluate in-game
Primary Attack,1115346958,Sea Serpent,,Melee,,Other,Melee,CloseRange,,T1,28,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Sea Serpent Frost Projectile,1506479890,Sea Serpent,,Projectile,Frost,Other,Projectile,,,T1,28,N,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-938355432,Sea Serpent Hard,,Melee,,Other,Melee,CloseRange,,T1,28,N,1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,-1470096516,Sea Serpent Hard,,Melee,,Other,Melee,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,163224625,Sea Serpent Hard,,Melee,,Other,Melee,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Sea Serpent Fish Vomit,-1287271443,Sea Serpent Hard,,AoE,,Other,AoE; Summon,,,T1,28,N,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1130939687,Spectral Guardian,,Melee,,Other,Melee,CloseRange,,T1,1,N,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Spectral Wolf,-1298478938,Spectral Spell Slinger,"Send out a Spectral wolf that bounces to a nearby enemy after each hit, up to {count} additonal hits. Deals {damage} magic damage on the first hit, subsequent hits deal {damagereduction} damage of the previous hit. Each hit inflicts Weaken and grants a stack of Phantasm.",Projectile,,Other,Projectile,Aimed,,T3,60,N,8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Baneling Change State,1790377808,Spider Baneling Summon; Spider Baneling,,,,Other,,,,T3,56,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Baneling Explode Poison,-891106318,Spider Baneling Summon; Spider Baneling,,,,Other,,CloseRange,,T3,56,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: permanent invisibility on respawn (Spider Baneling Explode Poison) - tester v0.100
Spider Broodmother Spawn Adds,983916408,Spider Broodmother,,AoE,,Other,AoE; Summon,,,T3,60,N,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1841930998,Spider Forest,,Melee,,Other,Melee,CloseRange,,T1,26,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Spider Forest Cocoonify,-1425167877,Spider Forest,,Summon,,Other,Summon,Summon,,T1,26,N,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Forest Webbing,1713280509,Spider Forest,,AoE,,Other,AoE,CloseRange,,T1,26,N,0.85,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-292254536,Spider Forestling,,,,Other,,CloseRange,,T1,20,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1820645555,Spider Melee Gate Boss Summon; Spider Melee Summon; Spider Melee,,Melee,,Other,Melee,CloseRange,,T3,58,N,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,1693120911,Spider Melee Gate Boss Summon; Spider Melee Summon; Spider Melee,,Melee,,Other,Melee,CloseRange,,T3,58,N,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Melee Webbing,-915534386,Spider Melee Gate Boss Summon; Spider Melee Summon; Spider Melee,,AoE,,Other,AoE,,,T3,58,N,0.85,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1274762079,Spider Queen,,Melee,,Other,Melee,CloseRange,,T4,85,Y,3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Spider Queen AoE,1573712465,Spider Queen,,AoE,,Other,AoE,CloseRange,,T4,85,Y,0.85,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Spider Queen Cocoonify,2130811227,Spider Queen,,Summon,,Other,Summon,Summon,,T4,85,Y,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Spider Queen PBAoE,-2109003637,Spider Queen,,,,Other,,CloseRange,,T4,85,Y,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Spider Queen Projectile Loop,-1586810476,Spider Queen,,Projectile,,Other,Projectile,,,T4,85,Y,2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Spider Queen Range Attack,1132262199,Spider Queen,,Projectile,,Other,Projectile,,,T4,85,Y,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Spider Queen Spawn Adds,-1779071085,Spider Queen,,Summon,,Other,Summon,Summon,,T3,63,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Spider Queen Spawn Adds Gate Boss,-1448118517,Spider Queen,,Summon,,Other,Summon,Summon,,T4,85,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7: gate-boss encounter variant of a base ability — evaluate hide.
Spider Queen Web Hook,1499629710,Spider Queen,,,,Other,,Aimed,,T4,85,Y,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Spider Queen Web Projectile,193592408,Spider Queen,,Projectile,,Other,Projectile,Aimed,,T4,85,Y,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Spider Range Close Attack,-1694480301,Spider Range Summon; Spider Range,,,,Other,,CloseRange,,T3,58,N,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Range Poison Projectile,464665677,Spider Range Summon; Spider Range,,Projectile,,Other,Projectile,Aimed,,T3,58,N,2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1655641312,Spiderling Summon; Spider Spiderling; Spider Spiderling Vermin Nest,,,,Other,,CloseRange,,T3,56,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Golem Fall Asleep Buff,-352214814,Stone Golem; Copper Golem,,Buff,,Other,Buff,,,T2,36,N,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Stone Golem Ground Slam,-1045581646,Stone Golem; Copper Golem,,,,Other,,CloseRange,,T2,36,N,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Golem Rock Slam,418002062,Stone Golem; Copper Golem,,Projectile,,Other,Projectile,Aimed,,T2,36,N,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1110054537,Trader Farbane Gems T01; Trader Farbane Herbs T01,,Melee,,Other,Melee,CloseRange,,T2,34,N,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Trader Farbane Stalker Charge Attack,1487412876,Trader Farbane Gems T01; Trader Farbane Herbs T01,,Melee,,Other,Melee,CloseRange,,T2,34,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1844993528,Trader Farbane Rare Goods T01; Trader Gloomrot T04; Trader Farbane Knowledge T01,,Melee,,Other,Melee,CloseRange,,T2,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trader Farbane Theif Heavy Attack,787005490,Trader Farbane Rare Goods T01; Trader Gloomrot T04; Trader Farbane Knowledge T01,,,,Other,,CloseRange,,T2,34,N,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,922686381,Trader Gloomrot T04,,Melee,,Other,Melee,CloseRange,,T4,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Bolt,-1981491221,Trader Noctem Minor; Trader Noctem Major,Launch a projectile that deals {damage} magic damage.,Projectile,,Other,Projectile,Aimed,,T3,60,N,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1671419025,Treant Nether Demon; Treant,,Melee,,Other,Melee,CloseRange,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Treant Fall Asleep,761844990,Treant Nether Demon; Treant,,,,Other,,,,T3,60,N,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Treant Projectile,-968756307,Treant Nether Demon; Treant,,Projectile,,Other,Projectile,,,T3,60,N,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Areana Champion Corpse Buff,-89125940,Undead Areana Champion (inferred),,Buff,,Buff,Buff,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),"CHARACTER-BREAK: permanent locked/phased/invisible, survives relog (Gaius Corpse Buff ABILITY GROUP - the capturable ability; buff -485230865 was already listed) - re-audit 2026-06-05"
Undead Arena Champion Add To Duel,341647784,Undead Arena Champion (inferred),,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Awake Sequence,1734337277,Undead Arena Champion (inferred),,,,,,CloseRange,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Chains Of Death,-782050236,Undead Arena Champion (inferred),,Projectile,,Projectile,Projectile,CloseRange,,,,,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Charge,-1810214745,Undead Arena Champion (inferred),,Movement,,Movement,Movement,Aimed,,,,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Counter Strike,-1357375516,Undead Arena Champion (inferred),,Melee,,Melee,Melee,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Disengage,-1175912131,Undead Arena Champion (inferred),,,,,,CloseRange,,,,,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Fadestrike,-547251580,Undead Arena Champion (inferred),,Movement,,Movement,Movement,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Kick,-1756717462,Undead Arena Champion (inferred),Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Movement,,Movement,Movement,CloseRange,,,,,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Kill Disconnected,-725828654,Undead Arena Champion (inferred),,AoE,,AoE,AoE,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Leap Strike,2136656017,Undead Arena Champion (inferred),,Movement,,Movement,Movement,Aimed,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Side Step Left,-1253650402,Undead Arena Champion (inferred),,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Side Step Right,-887581044,Undead Arena Champion (inferred),,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Stab Launch,821808685,Undead Arena Champion (inferred),,Secondary,,Movement,Movement,,,,,,8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Sweep Attacks,-1781725233,Undead Arena Champion (inferred),Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,CloseRange,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Twinblade Throw,1322698651,Undead Arena Champion (inferred),,Secondary,,AoE,AoE,CloseRange,,,,,8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,CRASH (blocked),GAME CRASH (Gaius Undead Arena Champion Twinblade Throw) - tester v0.100
Undead Arena Champion Windslash,-2023636973,Undead Arena Champion (inferred),,Projectile,,Projectile,Projectile,Aimed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton Crossbow Shared Crossbow,1601771862,Undead Armored Skeleton Crossbow Dunley; Undead Armored Skeleton Crossbow Farbane; Undead Skeleton Crossbow Base; Undead Skeleton Crossbow Farbane OLD; Undead Skeleton Crossbow Graveyard; Undead Skeleton Crossbow Golem Minion,,Projectile,,Other,Projectile,Aimed,,T2,38,N,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Assassin Double Strike,1805214524,Undead Assassin,,Melee,,Other,Melee,CloseRange,,T2,35,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Assassin Double Strike Follow Up,-1553594984,Undead Assassin,,Melee,,Other,Melee,CloseRange,,T2,35,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Assassin Heavy Attack,561623729,Undead Assassin,,,,Other,,CloseRange,,T2,35,N,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
